player,position,my_proj
Eric Decker,WR,93.5974976815831
Sammy Watkins,WR,93.54206411178065
Donte Moncrief,WR,92.53563725638399
DeVante Parker,WR,92.42005831939471
Cameron Meredith,WR,91.97263855400567
Jeremy Maclin,WR,89.44932179856113
Rishard Matthews,WR,88.98511036873624
DeSean Jackson,WR,88.77498737110263
Jordan Matthews,WR,88.71161644322166
Pierre Garcon,WR,86.37422789045944
Tyrell Williams,WR,86.054578150167
Ted Ginn,WR,85.66751315798466
Taylor Gabriel,WR,85.25050518560352
Sterling Shepard,WR,84.39837695345331
Corey Coleman,WR,84.2926907982111
John Brown,WR,84.23452409985973
Marvin Jones,WR,83.38493170802694
Corey Davis,WR,83.32939659800023
Tyler Lockett,WR,82.45899994603775
Adam Thielen,WR,81.90411237121965
Cole Beasley,WR,76.9905106048908
Robby Anderson,WR,76.30313484728786
Zay Jones,WR,73.89146012565874
Allen Hurns,WR,72.42796179030623
Kenny Stills,WR,71.64705668204897
