player,position,beerSheets_proj_pts,espn_proj_pts,fantasyData_proj_pts,ffToday_proj_pts,cbs_proj_pts,scout_proj_pts,numberFire_proj_pts,ffAnalytics_weighted_proj_pts,nfl_proj_pts,yahoo_proj_pts,fantasySharks_proj_pts
Kenny Britt,WR,-0.2844146415789471,117.3,115.4,119.6,108,111.1,118.69,120.55197554206998,116.095,130.2,131.35
Eric Decker,WR,-0.3104509057894735,112.9,111.0,101.4,104,117.4,125.8,117.260571449496,139.32299999999998,117.3,135.5
Jeremy Maclin,WR,-0.3676219384210525,115.1,111.3,106.4,97,93.0,115.57,107.701633728582,89.579,98.75,125.32
Randall Cobb,WR,-0.5413390336842104,121.3,120.8,115.0,110,119.0,119.92,122.465911543491,133.873,121.46,127.83
Mike Wallace,WR,-0.5751087505263155,109.7,115.9,121.1,106,104.0,108.42,114.018395984564,87.665,133.04,109.59
Adam Thielen,WR,-0.5849542152631576,111.8,105.4,119.7,91,120.0,93.05,107.203649260158,111.208,126.5,75.44
Marvin Jones,WR,-0.8677863221052631,116.2,107.1,103.5,86,108.0,99.48,107.935647612355,103.217,123.5,105.86
Ted Ginn,WR,-0.9758323147368421,109.4,100.5,95.5,97,121.5,98.45,109.007612867779,118.193,123.65,121.98
Jordan Matthews,WR,-0.9953423931578946,108.1,109.7,105.7,94,115.1,113.45,108.71941571053301,104.022,137.0,85.23
Rishard Matthews,WR,-1.014431078947368,105.4,103.4,119.6,96,109.5,111.75,117.906809980383,138.67,138.6,121.94
Corey Coleman,WR,-1.0458225563157892,97.2,101.4,89.5,100,117.5,100.21,98.00759130688299,88.641,116.23,76.9
John Brown,WR,-1.1157336605263155,100.3,100.0,98.2,92,123.5,103.16,102.38117944507201,87.633,138.9,82.35
Robby Anderson,WR,-1.3183753144444441,92.1,97.7,102.6,89,112.7,105.01,93.06672451984907,61.843,84.88,122.72
Corey Davis,WR,-1.402783022631579,109.9,100.1,80.8,89,121.5,105.96,93.69872031898909,36.47,108.7,125.34
Kenny Stills,WR,-1.5883750478947365,92.1,91.8,98.0,82,103.3,73.88,98.45655357937679,109.508,119.2,77.9
Sterling Shepard,WR,-1.6645264636842103,97.1,96.6,76.2,96,96.0,95.78,87.5897929005347,31.814,110.63,103.35
Cole Beasley,WR,-1.735980331052631,89.4,93.7,99.6,93,90.0,92.18,92.89910512756279,93.464,96.42,73.67
Allen Hurns,WR,-1.8012566968421049,70.4,83.2,89.5,93,93.0,80.35,87.7546234034753,86.001,103.7,70.87
Taylor Gabriel,WR,-1.8587894715789468,97.2,85.4,75.5,104,103.0,63.89,103.277802068073,78.842,135.2,117.13
Tyler Lockett,WR,-1.942353026470588,97.8,85.8,89.6,94,99.0,83.11,100.834580855502,96.245,137.23,80.89
Zay Jones,WR,-2.1297566368421053,95.4,76.7,80.9,83,114.3,106.07,95.30984706646228,100.632,98.1,107.18
