player,position,my_proj,posRank,VOR,flexRank,flexVOR
DeAndre Washington,RB,80.08639371824403,54.0,-80.55531513636676,119.0,-10.673961751382933
James White,RB,78.95698153730378,55.0,-81.68472731730701,121.0,-11.803373932323183
Charles Clay,TE,73.50352567443426,18.0,-82.06290362067915,134.0,-17.2568297951927
Jeremy Hill,RB,78.3439771473718,56.0,-82.29773170723898,123.0,-12.416378322255156
CJ Fiedorowicz,TE,72.92372478584838,19.0,-82.64270450926503,135.0,-17.83663068377858
Antonio Gates,TE,72.52404854476306,20.0,-83.04238075035036,136.0,-18.236306924863896
Julius Thomas,TE,72.39037631198673,21.0,-83.17605298312668,137.0,-18.36997915764023
Danny Woodhead,RB,77.37026023109057,57.0,-83.27144862352021,124.0,-13.39009523853639
Austin Hooper,TE,72.27112659433183,22.0,-83.29530270078158,139.0,-18.489228875295126
Tyler Lockett,WR,78.50041650162677,55.0,-83.33539498813434,122.0,-12.259938968000185
Cole Beasley,WR,77.05638159170216,56.0,-84.77942989805895,125.0,-13.703973877924795
Allen Hurns,WR,76.51195528711345,57.0,-85.32385620264766,128.0,-14.248400182513507
Dion Lewis,RB,75.16204217790201,58.0,-85.47966667670877,132.0,-15.59831329172495
Evan Engram,TE,68.54594210630789,23.0,-87.02048718880553,142.0,-22.214413363319068
Breshad Perriman,WR,73.94979437022386,58.0,-87.88601711953726,133.0,-16.810561099403103
Charles Sims,RB,72.33667698706995,59.0,-88.30503186754083,138.0,-18.42367848255701
David Njoku,TE,66.51131867347252,24.0,-89.05511062164089,144.0,-24.249036796154442
Kenny Stills,WR,71.62025669899914,59.0,-90.21555479076197,140.0,-19.140098770627816
Jacquizz Rodgers,RB,68.15075871834168,60.0,-92.4909501362691,143.0,-22.60959675128528
OJ Howard,TE,63.07547915884431,25.0,-92.4909501362691,145.0,-27.68487631078265
Jets,DST,49.12594350965145,15.0,-92.4909501362691,,-92.4909501362691
DeShone Kizer,QB,159.76581997870124,32.0,-92.4909501362691,,-92.4909501362691
Robby Anderson,WR,69.344861353492,60.0,-92.4909501362691,141.0,-21.41549411613495
