player,position,round_in_which_Id_get_him,
Giants,DST,16,
Justin Forsett,RB,16,
Rams,DST,16,
Alex Smith,QB,16,
Antonio Gates,TE,12,
Michael Thomas,WR,10,best?
Duke Johnson Jr.,RB,8,
Emmanuel Sanders,WR,6,
Matt Jones,RB,5,
Delanie Walker,TE,4,
John Brown,WR,4,
Amari Cooper,WR,2,
Matt Forte,RB,1,
Russell Wilson,QB,3,
