player,position,beerSheetsProjPts
Aaron Rodgers,qb,4.38350279777778
Russell Wilson,qb,3.136961855555556
Tom Brady,qb,3.024984067777779
Cam Newton,qb,2.469061141111111
Carson Wentz,qb,1.8851521633333321
Deshaun Watson,qb,1.8393208933333336
Drew Brees,qb,1.6116542366666664
Matthew Stafford,qb,1.365203562222223
Kirk Cousins,qb,1.2545938600000006
Ben Roethlisberger,qb,0.9750445744444446
Alex Smith,qb,0.8353376000000003
Philip Rivers,qb,0.7657348722222221
Jimmy Garoppolo,qb,0.5407209533333339
Matt Ryan,qb,0.4839980566666672
Jared Goff,qb,0.4442029377777772
Andrew Luck,qb,0.3853543366666673
Marcus Mariota,qb,0.22134533888888908
Dak Prescott,qb,0.20525713444444477
Patrick Mahomes,qb,0.08372738588235397
Blake Bortles,qb,-0.21144073222222184
Andy Dalton,qb,-0.8217074088888888
Derek Carr,qb,-1.0100685400000002
Ryan Tannehill,qb,-1.1992768233333326
Case Keenum,qb,-1.2260913966666664
Mitchell Trubisky,qb,-1.2495693928571423
Eli Manning,qb,-1.3955962477777772
Jameis Winston,qb,-2.250461515555556
Joe Flacco,qb,-3.5740184499999996
Tyrod Taylor,qb,-3.892924779999999
Sam Bradford,qb,-7.890378162222222
Josh McCown,qb,-8.208106604444446
Josh Rosen,qb,-9.103367297058822
Rob Gronkowski,te,6.973479186666666
Travis Kelce,te,6.054633363333334
Zach Ertz,te,5.607886151111111
Evan Engram,te,3.638079931111112
Greg Olsen,te,3.6260243655555557
Delanie Walker,te,3.4981042466666663
Jimmy Graham,te,3.009704911111112
Kyle Rudolph,te,2.488413284444444
Jordan Reed,te,1.97184385
Jack Doyle,te,1.52131261
Trey Burton,te,1.3738716577777779
Charles Clay,te,0.6439619955555554
Jared Cook,te,0.5397758744444444
George Kittle,te,0.5369584933333333
David Njoku,te,0.3210626200000001
Eric Ebron,te,0.08744808666666656
Ben Watson,te,0.02666689666666657
OJ Howard,te,0.012891806666666622
Cameron Brate,te,-0.006361655555555507
Austin Hooper,te,-0.03937827222222225
Tyler Eifert,te,-0.17382269666666655
Austin Seferian-Jenkins,te,-0.19065951222222227
Vance McDonald,te,-0.45793378777777777
Ricky Seals-Jones,te,-0.7267184900000001
