player,position,beerSheetsProjPts
Hayden Hurst,te,-1.3784094122222221
LeVeon Bell,rb,13.321764623333332
Todd Gurley,rb,12.857847936666667
David Johnson,rb,11.86028893888889
Alvin Kamara,rb,10.923600754444445
Ezekiel Elliott,rb,10.251554196666666
Saquon Barkley,rb,8.528830665555555
Melvin Gordon,rb,8.335800805294117
Kareem Hunt,rb,8.014829941111113
Dalvin Cook,rb,7.7364382944444445
Leonard Fournette,rb,7.561274395555554
Christian McCaffrey,rb,6.956728836470589
LeSean McCoy,rb,6.626792491111112
Jerick McKinnon,rb,6.520271677777778
Devonta Freeman,rb,6.178740397777779
Joe Mixon,rb,4.916896003333333
Jordan Howard,rb,4.145789028888889
Kenyan Drake,rb,3.8433585333333338
Alex Collins,rb,3.4291119955555556
Rashaad Penny,rb,3.1092301111111116
Jay Ajayi,rb,2.8647891088888895
Mark Ingram,rb,2.808389913333334
Derrius Guice,rb,2.7098828688888887
Dion Lewis,rb,2.603667681111111
Lamar Miller,rb,2.4870113211111113
Derrick Henry,rb,2.4447855966666663
Sony Michel,rb,2.251944804444445
Tevin Coleman,rb,2.022021797777778
Royce Freeman,rb,1.9404766788888885
Marshawn Lynch,rb,1.6329065600000003
Duke Johnson,rb,1.5937601822222223
Ronald Jones,rb,1.5256024458823534
Tarik Cohen,rb,1.5062927411111109
Isaiah Crowell,rb,1.3036967877777783
Rex Burkhead,rb,1.1178517388888891
Chris Thompson,rb,1.095240647777778
Marlon Mack,rb,0.811955895555556
Jamaal Williams,rb,0.394459307777778
James White,rb,0.2710344677777777
Giovani Bernard,rb,0.20143095555555582
Devontae Booker,rb,0.1656191600000001
Carlos Hyde,rb,0.13262252222222232
Kerryon Johnson,rb,0.026789278888889045
Theo Riddick,rb,-0.38128412222222224
Bilal Powell,rb,-0.583339073333333
Ty Montgomery,rb,-0.6125633488888889
CJ Anderson,rb,-1.081478052222222
Corey Clement,rb,-1.5986377644444447
Austin Ekeler,rb,-1.6042403333333335
Latavius Murray,rb,-1.7938772577777777
DOnta Foreman,rb,-1.795793964444444
Matt Breida,rb,-1.8913153833333334
Kenneth Dixon,rb,-1.9001028122222217
Nyheim Hines,rb,-1.9663981211111112
Frank Gore,rb,-2.0096459777777773
TJ Yeldon,rb,-2.0169952533333335
Javorius Allen,rb,-2.1578861371428575
Nick Chubb,rb,-2.1792625744444445
Aaron Jones,rb,-2.227495263333333
Darren Sproles,rb,-2.477970807777778
Doug Martin,rb,-2.6545334177777775
LeGarrette Blount,rb,-3.1709188144444442
Chris Ivory,rb,-3.1826862455555562
Chris Carson,rb,-3.28671197
Peyton Barber,rb,-3.326884132222222
Kyle Juszczyk,rb,-3.370415886666666
Spencer Ware,rb,-3.425221572222222
Charles Sims,rb,-3.8065448433333327
Jalen Richard,rb,-3.837021388823529
Elijah McGuire,rb,-4.018565346470589
Jonathan Stewart,rb,-4.533503526666667
Wayne Gallman,rb,-4.609667692352942
Rod Smith,rb,-4.807823366666667
Corey Grant,rb,-4.860734504117647
DeAndre Washington,rb,-4.941918942857143
Jordan Wilkins,rb,-5.108087555294117
Chase Edmonds,rb,-5.11812416
CJ Prosise,rb,-5.139748455555556
Kalen Ballage,rb,-5.2146582977777785
Antonio Brown,wr,11.178482658888889
DeAndre Hopkins,wr,9.12977780777778
Odell Beckham,wr,8.71876532777778
Julio Jones,wr,8.612659762222224
Michael Thomas,wr,8.066041726666667
Keenan Allen,wr,7.817749375555555
AJ Green,wr,7.021211885555556
Davante Adams,wr,6.89367024888889
Adam Thielen,wr,6.129563314444445
Mike Evans,wr,6.0498299611111115
Larry Fitzgerald,wr,6.005980785555556
Doug Baldwin,wr,5.961083473333334
TY Hilton,wr,5.370052173333334
Demaryius Thomas,wr,5.130427323333334
Stefon Diggs,wr,5.057961975555556
Amari Cooper,wr,5.023135596666666
Golden Tate,wr,4.992646083333334
Tyreek Hill,wr,4.920073046666667
JuJu Smith-Schuster,wr,4.512334177777778
Allen Robinson,wr,4.5004828588888905
Alshon Jeffery,wr,4.133436995555555
Josh Gordon,wr,3.830850894444444
Jarvis Landry,wr,3.801296843529412
Marvin Jones,wr,3.760986321111112
Michael Crabtree,wr,3.4406495655555562
Brandin Cooks,wr,3.3048959933333335
Pierre Garcon,wr,3.13734414
Emmanuel Sanders,wr,3.045889198888889
Randall Cobb,wr,2.6334031777777773
Robby Anderson,wr,2.603945428888889
Sammy Watkins,wr,2.5690378
Corey Davis,wr,2.5644948644444447
Cooper Kupp,wr,2.55190657
Chris Hogan,wr,2.5365732466666664
Devin Funchess,wr,2.4872648533333335
Robert Woods,wr,2.4305290464705886
DeVante Parker,wr,2.3908441
Jamison Crowder,wr,2.0511913522222223
Sterling Shepard,wr,1.9041525433333335
Kenny Stills,wr,1.9018128399999998
Marqise Lee,wr,1.6942938623529415
Rishard Matthews,wr,1.604158078888889
Jordy Nelson,wr,1.553358088888889
Kelvin Benjamin,wr,1.5511599188235297
Nelson Agholor,wr,1.5377560255555556
Marquise Goodwin,wr,1.5259863911111116
Julian Edelman,wr,1.3769623755555558
Allen Hurns,wr,1.0317088333333335
Will Fuller,wr,0.9801212433333335
DeSean Jackson,wr,0.8563095777777777
Mohamed Sanu,wr,0.6134984966666666
Kenny Golladay,wr,0.3016358466666669
Josh Doctson,wr,0.28886856555555585
Tyler Lockett,wr,0.12688950058823537
Ted Ginn,wr,0.06409776222222249
Tyrell Williams,wr,-0.14280506555555547
Paul Richardson,wr,-0.19914177111111114
DJ Moore,wr,-0.3033361955555555
Calvin Ridley,wr,-0.40638832888888865
Martavis Bryant,wr,-0.894825768888889
Jermaine Kearse,wr,-0.8999924155555559
Cameron Meredith,wr,-0.9897457777777777
Terrance Williams,wr,-1.13378053
Dez Bryant,wr,-1.1785707485714285
Christian Kirk,wr,-1.2667424255555553
Danny Amendola,wr,-1.2773395177777773
Albert Wilson,wr,-1.3736831577777782
Mike Wallace,wr,-1.5470687544444446
John Brown,wr,-1.5474194388888887
Dede Westbrook,wr,-1.6208706077777775
Mike Williams,wr,-1.6369923955555554
Quincy Enunwa,wr,-1.6630721766666665
Donte Moncrief,wr,-1.6756694088888888
Anthony Miller,wr,-1.8322874244444443
Chris Godwin,wr,-1.8386416511111108
Cole Beasley,wr,-1.859471312222222
Brandon LaFell,wr,-1.8879807976470588
Ryan Grant,wr,-1.894721292222222
Jaguars,dst,15.0
Vikings,dst,14.0
Eagles,dst,13.0
Rams,dst,12.0
Chargers,dst,11.0
Texans,dst,10.0
Broncos,dst,9.0
Ravens,dst,8.0
Saints,dst,7.0
Patriots,dst,6.0
Seahawks,dst,5.0
Panthers,dst,4.0
Steelers,dst,3.0
Bears,dst,2.0
Chiefs,dst,1.0
